latitude,longitude,altitude,speed,date,time,stop,tyre_pressure,temperature,humidity
39.9865983,116.3193849,0,164.0,2008-11-04,09:26:05,False,35.09762700785465,26.984252739963857,80.20042573626259
39.9866283,116.3194749,0,164.0,2008-11-04,09:26:07,False,35.43037873274484,28.66343647023675,80.92639459052076
39.9866649,116.3195816,0,164.0,2008-11-04,09:26:09,False,35.205526752143285,28.069234068809156,79.29560266813078
39.9866899,116.3196849,0,164.0,2008-11-04,09:26:11,False,35.089766365993796,27.696355953743396,79.51383328737334
39.9866566,116.3197966,0,164.0,2008-11-04,09:26:14,False,34.84730959867781,28.218751234645676,80.74711365458154
39.9866316,116.3199083,0,2.0,2008-11-04,09:26:17,True,35.29178822613331,27.14820607967852,79.98378446341668
39.9866333,116.3199983,0,164.0,2008-11-04,09:26:19,False,34.87517442252538,28.826298825091914,80.79792218445407
39.9866566,116.3201066,0,164.0,2008-11-04,09:26:21,False,35.78354600156416,27.659427477334255,79.37103579504635
39.9866883,116.3202516,0,164.0,2008-11-04,09:26:24,False,35.92732552100206,27.44218224194357,80.06533717494273
39.9867266,116.3203833,0,164.0,2008-11-04,09:26:26,False,34.76688303765155,29.31462765822295,79.65253926529874
39.9867483,116.3205,0,164.0,2008-11-04,09:26:28,False,35.58345007616533,29.69986764781277,79.63308511978495
39.9867633,116.3205983,0,164.0,2008-11-04,09:26:30,False,35.05778983950581,26.184029243549187,79.8937539278924
39.9867966,116.3207033,0,164.0,2008-11-04,09:26:32,False,35.13608912218786,26.930507971319063,79.86615489820254
39.9867933,116.3208099,0,164.0,2008-11-04,09:26:36,False,35.85119327658532,27.394077477970253,79.71469375935591
39.9868083,116.3209216,0,164.0,2008-11-04,09:26:39,False,34.142072116395774,29.25986591748099,80.82994154063124
39.9867999,116.3210283,0,164.0,2008-11-04,09:26:43,False,34.17425859940308,29.94196571057319,80.46348837086579
39.9868966,116.3210099,0,164.0,2008-11-04,09:26:53,False,34.04043679488065,29.87588681868141,80.45509398266306
39.98699,116.32099,0,164.0,2008-11-04,09:26:59,False,35.66523969109588,29.619793382199706,79.57982689918391
39.9870833,116.3209983,0,164.0,2008-11-04,09:27:04,False,35.5563135018997,27.18622506025612,80.15541884863369
39.9871633,116.3210583,0,164.0,2008-11-04,09:27:07,False,35.74002429649364,29.968044973657896,80.55835886660367
39.9872399,116.3210033,0,164.0,2008-11-04,09:27:11,False,35.95723668446553,26.997680164225805,80.59118073708643
39.98733,116.3209766,0,1.0,2008-11-04,09:27:14,True,35.59831712843345,26.42362461952893,79.68906092150863
39.987415,116.3209233,0,167.3,2008-11-04,09:27:18,False,34.92295872450586,29.803810444221575,80.5417455131373
39.9873683,116.320845,0,167.3,2008-11-04,09:27:19,False,35.561058352572914,26.933681021872385,80.47178779361546
39.9874783,116.3208833,0,167.3,2008-11-04,09:27:21,False,34.236548851737865,28.759073060311003,79.2830129712438
39.9875266,116.320795,0,170.6,2008-11-04,09:27:25,False,35.27984204265505,26.233425435922356,80.73189093713296
39.9876283,116.3207849,0,170.6,2008-11-04,09:27:28,False,34.28670657481809,28.922836396509904,79.88264294036082
39.98775,116.3208283,0,170.6,2008-11-04,09:27:30,False,35.889337834099166,29.52688084933536,79.97282089777732
39.9878533,116.3208633,0,170.6,2008-11-04,09:27:32,False,35.04369664350014,27.08974758186385,79.896738357796
39.9879833,116.3208966,0,170.6,2008-11-04,09:27:35,False,34.82932387998105,27.516227584309714,80.13569200295501
39.9881216,116.3209049,0,173.9,2008-11-04,09:27:39,False,34.52911122420925,27.497184733283664,80.24233849473411
39.9882266,116.3209283,0,173.9,2008-11-04,09:27:41,False,35.54846737886843,28.995153030160534,79.99635913152589
39.9883549,116.3209383,0,173.9,2008-11-04,09:27:44,False,34.9123006644331,26.951228970156155,80.7335770865182
39.9884599,116.3209333,0,173.9,2008-11-04,09:27:47,False,35.1368678977373,26.687412396190574,80.25546951239056
39.9885583,116.3209266,0,173.9,2008-11-04,09:27:50,False,34.03757960087271,27.79716659475095,79.80285589861104
39.9886433,116.3208749,0,173.9,2008-11-04,09:27:54,False,35.235270994151755,27.217873629509278,79.83338351381742
39.9887499,116.3208733,0,173.9,2008-11-04,09:27:57,False,35.224191445444845,29.35675648903461,80.6216772302579
39.9888766,116.3208949,0,170.6,2008-11-04,09:28:00,False,35.23386799374951,26.950967304062555,79.69638388549303
39.9889866,116.3209033,0,170.6,2008-11-04,09:28:03,False,35.88749615702925,28.009557829957046,79.42290959156483
39.9890916,116.3209749,0,167.3,2008-11-04,09:28:04,False,35.36364059820697,29.77033439879172,79.11876637601158
39.989195,116.320985,0,167.3,2008-11-04,09:28:07,False,34.71901580114757,28.535990790978644,80.75205369584114
39.9892983,116.3209749,0,167.3,2008-11-04,09:28:11,False,34.87406390759868,29.46915762184986,80.8370929023807
39.9894066,116.3209816,0,164.0,2008-11-04,09:28:15,False,35.39526239185453,29.76083875741907,79.24024036432695
39.989555,116.3210649,0,164.0,2008-11-04,09:28:17,False,34.12045094325854,29.003059447545407,79.66894748299222
39.9896649,116.321125,0,160.8,2008-11-04,09:28:19,False,35.333533430891336,28.798300240899007,79.35074413903048
39.9897749,116.3211549,0,157.5,2008-11-04,09:28:22,False,35.341275739236316,29.87186226641691,79.23179693765177
39.9898999,116.3211516,0,157.5,2008-11-04,09:28:26,False,34.420765122147685,29.977603158590718,80.79973348600006
39.9900066,116.32116,0,157.5,2008-11-04,09:28:29,False,34.25785259530971,27.80728673067904,79.1137545182907
39.9901099,116.3211916,0,154.2,2008-11-04,09:28:31,False,34.630856701848366,26.283479112736835,80.96097132693801
39.9902233,116.3211733,0,154.2,2008-11-04,09:28:35,False,34.72742154188524,27.171176125762074,79.19290172139476
39.99033,116.3212016,0,150.9,2008-11-04,09:28:37,False,35.14039354083576,26.60941882275092,80.72694129838717
39.99044,116.3211983,0,150.9,2008-11-04,09:28:40,False,34.87720302692464,27.669945499184045,80.13301221397832
39.9905233,116.321145,0,150.9,2008-11-04,09:28:44,False,35.97674767611845,26.525157313893025,79.73583497563574
39.9906366,116.3211683,0,154.2,2008-11-04,09:28:46,False,34.20408962149605,28.41647121608353,79.68468475325031
39.9907316,116.3211083,0,154.2,2008-11-04,09:28:50,False,34.41775351218967,27.531232236631418,80.51472828647542
39.9911916,116.3213,0,4.0,2008-11-04,09:28:58,True,30.0,25.0,95.0
39.9913133,116.3214066,0,157.5,2008-11-04,09:29:00,False,35.3062166509308,29.871178687194007,80.31463783323429
39.99138,116.3214799,0,160.8,2008-11-04,09:29:01,False,34.506583205079565,28.18753960667769,80.03465216703216
39.9914333,116.3215866,0,160.8,2008-11-04,09:29:03,False,34.932621545712614,27.099294279470385,79.96993129031614
